Designation,Company,Rating,Reviews_Count,Industry,Location_Info,Experience,Salary_Range,Salary_Min_LPA,Salary_Max_LPA,Highly_Rated_For,Critically_Rated_For
Ai Ml Engineer,Amazon,3.9,33.2k,Internet,Hyderabad +553 other locations,0 - 5 yrs exp.,₹ 16.6 L/yr - ₹ 24.8 L/yr,16.6,24.8,"Company Culture, Work Life Balance, Salary",Promotions
Backend Developer,CRED,3.5,188,FinTech,Hyderabad +15 other locations,0 - 4 yrs exp.,₹ 26 L/yr - ₹ 35.5 L/yr,26,35.5,,"Promotions, Job Security, Work Life Balance"
Backend Developer,Amazon,3.9,33.2k,Internet,Hyderabad +553 other locations,0 - 4 yrs exp.,₹ 13.9 L/yr - ₹ 20.8 L/yr,13.9,20.8,"Company Culture, Work Life Balance, Salary",Promotions
Data Engineer,Blend360,3.5,37,IT Services & Consulting,Hyderabad +1 other locations,0 - 4 yrs exp.,₹ 19 L/yr - ₹ 23.8 L/yr,19,23.8,"Salary, Skill Development","Job Security, Work Satisfaction, Promotions"
Data Engineer,PayU Payments,3.3,605,FinTech,Hyderabad +22 other locations,0 - 5 yrs exp.,₹ 15.3 L/yr - ₹ 21.5 L/yr,15.3,21.5,,"Promotions, Job Security, Work Satisfaction"
Data Engineer,Visa,3.3,523,FinTech,Hyderabad +18 other locations,0 - 6 yrs exp.,₹ 14.7 L/yr - ₹ 19.9 L/yr,14.7,19.9,,"Promotions, Job Security, Work Satisfaction"
Data Scientist,Facebook,4.4,169,Internet,Hyderabad +29 other locations,0 - 5 yrs exp.,₹ 36 L/yr - ₹ 53.6 L/yr,36,53.6,"Salary, Company Culture, Work Life Balance",
Data Scientist,ShareChat,3.6,601,Internet,Hyderabad +39 other locations,0 - 8 yrs exp.,₹ 27.8 L/yr - ₹ 39.2 L/yr,27.8,39.2,Salary,"Job Security, Promotions"
Data Scientist,Uber,4.0,1.1k,Internet,Hyderabad +55 other locations,0 - 5 yrs exp.,₹ 26.4 L/yr - ₹ 38 L/yr,26.4,38,"Work Life Balance, Company Culture, Salary","Job Security, Promotions"
Data Scientist,Meesho,3.7,2.3k,Internet,Hyderabad +142 other locations,0 - 4 yrs exp.,₹ 25.9 L/yr - ₹ 37.6 L/yr,25.9,37.6,Salary,"Job Security, Promotions"
Data Scientist,Eternal Limited,3.5,3.1k,Internet,Hyderabad +225 other locations,0 - 6 yrs exp.,₹ 23.4 L/yr - ₹ 29.4 L/yr,23.4,29.4,,"Job Security, Promotions, Work Life Balance"
Data Scientist,Microsoft Corporation,3.8,2.2k,Software Product,Hyderabad +53 other locations,0 - 6 yrs exp.,₹ 19.6 L/yr - ₹ 28.4 L/yr,19.6,28.4,"Work Life Balance, Company Culture","Job Security, Promotions"
